"id","source_id","source","type","user_name","created_at","fetched_at","link","image","flagged"
129,"1104426697898431882_17998172","instagram","post","themiguelescalona","2015-10-26 12:45:43-04","2015-10-26 13:19:12.659-04","https://instagram.com/p/9TtjrwsZWK/","https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e35/12106109_566772463503353_919284135_n.jpg",
172,"658694407923867600","twitter","tweet","crypticvalentin","2015-10-26 13:19:19-04","2015-10-26 13:19:19.496-04","//twitter.com/crypticvalentin/statuses/658694407923867648",,
1352,"5550296508_10154194224421509","facebook","link","CNN","2015-11-04 22:33:37-05","2015-11-05 12:06:04.516-05","https://www.facebook.com/5550296508_10154194224421509","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQATBQ3M7CqdKjIa&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLNQ7bSvtFg_taNPEtl1sgDkV4vY-NveX7wtAKkjuO8ECsVrDPpEbpbjIOR_41ifpT-paX80-yc9lwmIE82twVlrIpK-3URolHp8OpOxjTRFRd5ftyibm_mhvmrGT1QvGNF81INKMmFqtLOo8bURpO9&cfs=1&sx=98&sy=0&sw=259&sh=259",
1364,"273864989376427_1046713725424879","facebook","video","MSNBC","2015-11-05 09:05:23-05","2015-11-05 12:06:08.587-05","https://www.facebook.com/273864989376427_1046713725424879","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDfbBNQ-6k1HSkJ&w=130&h=130&url=http%3A%2F%2Fmedia1.s-nbcnews.com%2Fj%2FMSNBC%2FComponents%2FVideo%2F__NEW%2F2015-11-05T11-02-46-1Z--1280x720.video_1067x600.jpg&cfs=1&sx=467&sy=0&sw=600&sh=600",
893,"5550296508_10154179511931509","facebook","link","CNN","2015-10-29 06:23:34-04","2015-10-29 06:24:03.494-04","https://www.facebook.com/5550296508_10154179511931509","https://external.xx.fbcdn.net/safe_image.php?d=AQAX1iVz96llwM1r&w=130&h=130&url=http%3A%2F%2Fprod.cdata.app.sprinklr.com%2FDAM%2F682%2Fhttp___i2.cdn.turner.com_cnnne-b48d5766-ab50-403f-bc14-91a66e608cf3-1549724056_p.jpg&cfs=1&sx=35&sy=0&sw=404&sh=404",
106,"1104434844974707016_253124603","instagram","post","mrnobles69","2015-10-26 13:01:54-04","2015-10-26 13:19:12.646-04","https://instagram.com/p/9TvaPUR_FI/","https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s150x150/e15/10005704_1171484489531404_310706766_n.jpg",
115,"1104439409633169869_2018757083","instagram","post","abstrawn","2015-10-26 13:10:58-04","2015-10-26 13:19:12.651-04","https://instagram.com/p/9TwcqfIJHN/","https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e35/12144064_403761289823742_683255154_n.jpg",
125,"1104428778642485048_2166553338","instagram","post","liberscaryanblood","2015-10-26 12:49:51-04","2015-10-26 13:19:12.657-04","https://instagram.com/p/9TuB9mtC84/","https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e35/12093467_130277973995935_1661019232_n.jpg",TRUE
1354,"5550296508_10154194136616509","facebook","link","CNN","2015-11-04 21:37:25-05","2015-11-05 12:06:04.518-05","https://www.facebook.com/5550296508_10154194136616509","https://external.xx.fbcdn.net/safe_image.php?d=AQDkjoLnYicw_yPx&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKqzuo_A3PeM6v6c171yjDCTWv3Avrieo9BH4XbxrSEEajPAokZBysKGlFrSmyqb5mrLa6Qfv9yr4oDFX0jBIuHFe1XD5pHTn9zkdWkuueNfp8bxnjeesyuUOwlR38wi7vg2zcteeFQFyWwo10S7JO_&cfs=1",
894,"5550296508_10154179545766509","facebook","link","CNN","2015-10-29 06:54:35-04","2015-10-29 06:56:03.615-04","https://www.facebook.com/5550296508_10154179545766509","https://external.xx.fbcdn.net/safe_image.php?d=AQAWmSnwQXBEgY39&w=130&h=130&url=http%3A%2F%2Fi2.cdn.turner.com%2Fcnnnext%2Fdam%2Fassets%2F151013121200-british-grandfather-saudi-lashes-elbagir-lok-00001625-large-169.jpg&cfs=1&sx=66&sy=0&sw=259&sh=259",
1079,"5550296508_10154184847031509","facebook","link","CNN","2015-10-31 15:26:31-04","2015-10-31 16:41:40.254-04","https://www.facebook.com/5550296508_10154184847031509","https://external.xx.fbcdn.net/safe_image.php?d=AQD6W01-VXkGfecI&w=130&h=130&url=http%3A%2F%2Fprod.cdata.app.sprinklr.com%2FDAM%2F682%2Fhttp___i2.cdn.turner.com_cnnne-461b1840-fcd9-47c3-a201-b23e5cc41b0d-543991747_p.jpg&cfs=1",
